rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,location_score,success_prob
960,686841,서울특별시 강남구 신사동,37.520441345,127.0272258334,지하1층,2500.0,250.0,20.0,265091.5,267129.0,233949.25,674.1092050805668,148.72851304501728,14,0,0,2,0,0,0,2,2,25,0.25230141936626965,0.423834505921256
961,918210,서울특별시 강남구 역삼동,37.5070564840605,127.038540045692,4층,2350.0,235.0,35.2,129679.0,133226.0,146047.5,380.3326968073022,95.85654379208938,14,0,0,0,0,0,0,2,4,25,0.23249240431835191,0.4238298337064045
962,919976,서울특별시 강남구 논현동,37.5169535524,127.0371741788,3층,4000.0,375.0,35.6,138882.5,141915.5,142196.125,367.4323705358351,137.52057088698464,11,1,1,0,0,0,0,3,2,17,0.2801725959360495,0.42369406001504245
963,926729,서울특별시 강남구 논현동,37.5169535524,127.0371741788,3층,4000.0,375.0,30.0,138882.5,141915.5,142196.125,367.4323705358351,137.52057088698464,11,1,1,0,0,0,0,3,2,17,0.2801725959360495,0.42369406001504245
964,927463,서울특별시 강남구 논현동,37.5169535524,127.0371741788,3층,4000.0,375.0,35.0,138882.5,141915.5,142196.125,367.4323705358351,137.52057088698464,11,1,1,0,0,0,0,3,2,17,0.2801725959360495,0.42369406001504245
965,917082,서울특별시 강남구 논현동,37.5070744286,127.0255289978,지하1층,2500.0,170.0,30.0,589152.0,788268.0,560948.125,572.5010738133298,178.1664036726876,14,0,0,1,1,0,0,5,3,32,0.3887991670915084,0.42295225852944096
966,783924,서울특별시 강남구 논현동,37.5070744286,127.0255289978,1층,4000.0,330.0,27.0,589152.0,788268.0,560948.125,572.5010738133298,178.1664036726876,14,0,0,1,1,0,0,5,3,32,0.3887991670915084,0.42295225852944096
967,843569,서울특별시 강남구 논현동,37.5070744286,127.0255289978,지하1층,2500.0,230.0,37.5,589152.0,788268.0,560948.125,572.5010738133298,178.1664036726876,14,0,0,1,1,0,0,5,3,32,0.3887991670915084,0.42295225852944096
968,906675,서울특별시 강남구 논현동,37.5147157853312,127.036123391166,5층,5000.0,390.0,36.3,138882.5,141915.5,142196.125,417.61991658285524,63.2422227695778,13,0,0,2,0,0,0,2,4,19,0.25339200917275656,0.4229360998724906
969,712596,서울특별시 강남구 논현동,37.5102823389,127.0239375701,2층,5000.0,450.0,27.0,388874.5,478718.0,397097.625,226.5618826351079,171.84015195974797,10,0,0,3,1,0,0,3,2,31,0.3596613960791237,0.42273609136678625
