listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
911564,서울특별시 강남구 논현동,37.5095988361,127.0335647726,퓨전/쌀국수,월세,0,100000000,10000000,1500000,0,16.53,1,T,3120194,11680531,319506.5,309264.5,303520.875,1,2,0,0,247.71862400313793,124.70487285375796,14,1,1.0,0,0,4,22,1500000,0.3047522791964028,114192609.0909091,1.0,9.829417053657323,15.0,24.829417053657323,0.8748983194498332,90.44679101239481,211
916762,서울특별시 강남구 논현동,37.5088279417,127.0322524334,사무실,월세,0,0,30000000,2000000,400000,85.9504,2,T,3120194,11680521,319506.5,309264.5,303520.875,1,3,0,0,236.14615985698046,117.17305764199794,14,1,0.8,0,1,3,20,2400000,0.4480336722533533,51800146.90909091,1.0,9.74921630094044,15.0,24.74921630094044,0.8372922789506942,87.5461372222425,390
916756,서울특별시 강남구 논현동,37.5077536363,127.033360364,사무실,월세,0,0,60000000,3700000,600000,138.81,5,T,3120194,11680521,319506.5,309264.5,303520.875,1,3,0,0,88.44173501321285,22.1709953320877,16,1,0.19999999999999996,0,2,2,23,4300000,0.8027269961205913,95207263.63636363,1.0,9.550679205851619,15.0,24.55067920585162,0.6751607276030811,75.1877337760827,997
916755,서울특별시 강남구 논현동,37.5098335696198,127.031859262577,사무실,월세,0,0,25000000,3400000,200000,99.1736,3,T,3110961,11680521,187742.25,204765.25,252216.625,0,2,0,0,341.0033393609077,61.176417870879234,5,1,0.6,0,0,2,20,3600000,0.6720505083800299,50154031.27272727,1.0,9.623824451410659,15.0,24.62382445141066,0.6959368347994892,76.81908706137234,912
916747,서울특별시 강남구 논현동,37.510265104,127.0351983086,기타,월세,0,0,25000000,1800000,300000,66.1157,1,T,3110961,11680531,187742.25,204765.25,252216.625,0,2,0,0,323.71698992243597,116.56227743939145,8,1,1.0,0,0,6,13,2100000,0.4266531908749639,41769345.72727273,1.0,9.761183875120253,15.0,24.761183875120253,0.7746405620131486,82.8592260261064,662
916742,서울특별시 강남구 논현동,37.5079801551,127.0352017598,사무실,월세,0,0,80000000,4500000,1500000,155.3388,3,T,3120194,11680531,319506.5,309264.5,303520.875,1,2,0,0,100.38803234944828,16.73781876948081,18,1,0.6,0,1,3,28,6000000,1.2190091167856112,119399568.36363637,1.0,9.317668214629295,15.0,24.317668214629293,0.7759135205410675,82.51118225520936,682
921054,서울특별시 강남구 논현동,37.5056258561549,127.024374903865,기타,월세,0,0,1080000000,90000000,5700000,370.0,1,T,3120187,11680521,589152.0,788268.0,560948.125,0,1,0,0,664.4172883576277,26.317214254457774,16,1,1.0,1,7,7,32,95700000,17.86534268110246,1173845454.5454545,0.10222810808299064,0.0,1.5334216212448597,1.5334216212448597,0.856537402690804,65.77372682305516,1211
921030,서울특별시 강남구 논현동,37.5181604483,127.0252296204,사무실,월세,0,0,80000000,6500000,960000,157.34,4,T,3120190,11680521,265091.5,267129.0,233949.25,0,2,0,0,473.17304741148826,81.9820513927856,6,1,0.3999999999999999,0,1,2,21,7460000,1.3926379979208396,119907145.45454545,1.0,9.220480668756531,15.0,24.22048066875653,0.6984140937026562,76.60153769645575,925
921023,서울특별시 강남구 논현동,37.5191221757,127.027659729,사무실,월세,0,0,100000000,9500000,0,165.39,3,T,3120190,11680521,265091.5,267129.0,233949.25,0,2,0,0,641.3601917991114,116.62784948536822,14,1,0.6,0,1,1,18,9500000,1.7734666193361899,141948918.1818182,0.8453745300566189,9.007314524555904,12.680617950849284,21.687932475405187,0.7254836493648783,76.09920617777107,968
921586,서울특별시 서초구 잠원동,37.511512079,127.0197756257,일식/해산물,월세,0,50000000,20000000,1700000,100000,56.56,1,T,3120185,11650540,388874.5,478718.0,397097.625,0,3,0,0,169.6345142523792,101.34862535280344,16,1,1.0,0,2,5,35,1800000,0.41116187183602915,84345672.72727272,1.0,9.769855032072266,15.0,24.769855032072265,0.946634932174336,95.76747494514746,22
921430,서울특별시 강남구 논현동,37.515876072,127.0224100612,기타주점,월세,0,15000000,20000000,2000000,50000,93.08,1,T,3120178,11680521,568765.0,648546.5,510767.5,1,2,0,0,193.86824373161397,124.33245357885204,12,1,1.0,0,4,2,19,2050000,0.3826954283830726,58608472.72727273,1.0,9.785788923719958,15.0,24.785788923719956,0.9426052133424184,95.48117992440135,29
921717,서울특별시 강남구 논현동,37.5068295699,127.0245155391,퓨전/쌀국수,월세,0,0,75000000,5900000,0,97.1,2,T,3120187,11680521,589152.0,788268.0,560948.125,0,1,1,0,547.3368524439028,86.43748896165373,18,1,0.8,0,6,4,37,5900000,1.10141611095616,99628090.9090909,1.0,9.383490073145245,15.0,24.383490073145246,0.9133643518312656,92.88581646049016,113
